Id;nome;tags
0;Amazarashi;rock,japanese,emo,alternative,indie
1;Versailles Phillarmonic Quintet;rock,japanese,symphonic,visual kei,power metal,instrumental
2;TK (Ling Tosite Sigure);rock,japanese,alternative,indie,post-hardcore,progressive rock
3;Kyary Pamyu Pamyu;pop,japanese,eletronic
4;L'arc en ciel;rock,japanese,anime
5;Buck Tick;rock,japanese,visual kei,anime
6;Aimer;japanese,pop,anime
7;Younha;korean,anime,piano,pop
8;Lisa;anime,japanese,rock,pop,punk
9;Kaya;japanese,rock,visual kei
10;Queen;rock,british,classic
11;Kanon Wakeshima;japanese,anime,cello
12;SUPER BEAVER;japanese,rock
13;Aoi Eir;japanese,pop,rock
14;Buck Tick;japanese
15;Lareine;visual kei,rock,japanese,disbanded,memories
